,source,english_sentence,hindi_sentence,translated_base
48880,ted,When the kids arrive,"जब बच्चे आते हैं,","When children come,"
79664,indic2012,"But till his death, under the influence of Islam, all tribes of Arabs has become the part of one political and social civilization.",पर उनकी मृत्यु तक इस्लाम के प्रभाव से अरब के सारे कबीले एक राजनीतिक और सामाजिक सभ्यता का हिस्सा बन गये थे।,The clan all the Arab influence of Islam until her death became part of a political and social civilization.
66869,indic2012,One team have 11 player.,एक टीम में ११ खिलाड़ी होते हैं।,There are 11 players in a team.
7744,indic2012,reasons behind sex,मैथुन के कारण,The sex
52157,tides,This is the frontier of India from the north .,यह उत्तर दिशा में भारत की सीमा है .,It is India&#39;s border in the north.
25523,tides,In 1947 they were elaborated in the form of a manifesto entitled New Humanism .,1947 में इसे घोषणापत्र के रूप में विस्तृत किया गया जिसका शीर्षक था ? न्यू ह्रूमनिज़्म ? .,"In 1947, it was expanded as a manifesto titled? New Hrumnijhm? ."
106039,ted,to the point where people simply get out of the business,कि लोग उन काम-धंधों को छोड ही दें,That people leave the job occupations
56833,ted,"the natural form of the interface,","संपर्क का प्राकृतिक रूप,","Natural form of contact,"
35309,indic2012,Many Kings tried to shoot the fish but were unsuccessful.,वहाँ एक के बाद एक सभी राजाओं एवं राजकुमारों ने मछली पर निशाना साधने का प्रयास किया किन्तु सफलता हाथ न लगी।,There was a later attempt to target one of the kings and princes fish but did not succeed.
74272,indic2012,"Cell phones have numerous privacy issues, and were used for regular monitoring by governments",सेल फोन के साथ कई गोपनीयता के मुद्दे जुड़े हैं और नियमित रूप से सरकारों द्वारा निगरानी करने के लिए उपयोग किए जाते हैं.,Numerous privacy issues with cell phones are used to monitoring by governments as connected and regular.
91481,indic2012,"Officially, its name becomes “”Mumbai“” in the year 1995.",इसका नाम आधिकारिक रूप से सन 1995 में मुंबई बना।,Its name was officially made from hemp Mumbai in 1995.
124668,ted,I was all set,सब फ़िक्स था -,Was all fixed -
97179,indic2012,it is estimated that he used to live here about 300000 to 500000 years back. some artifacts have revealed that he also knew how to start a fire and use tools.,अनुमान है कि ये इस क्षेत्र में ३००००० से ५००००० वर्ष पूर्व यहाँ रहते थे और कुछ शोधों से ये महत्वपूर्ण जानकारी भी मिली है की पेकिंग मानव आग जलाने की और उसे नियंत्रित करने की कला जानते थे।,"It is estimated that they lived here before 500,000 years from 300,000 in this field and some research this information also found the Peking burn human fire and knew the art of controlling it."
32846,ted,"and the reason I made this into a film,",और मेरे इस किताब को फ़िल्म में तब्दील करने का कारण है,And my book is due to be turned into film
103453,tides,"In India , cattle play a vital role in rural economy .",भारत की ग्रामीण अर्थव्यवस्था में ढोर महत्वपूर्ण भूमिका अदा करते हैं .,The cattle play an important role in India&#39;s rural economy.
15572,indic2012,"In July 1992, he was appointed as Scientific Adviser in Indian Defense Ministry.",जुलाई 1992 में वे भारतीय रक्षा मंत्रालय में वैज्ञानिक सलाहकार नियुक्त हुये।,In July 1992 they are appointed scientific adviser to the Ministry of Defense.
42192,tides,"Sarthi , an NGO that works here , assists the Bhoole Bisre Kalakar Cooperative Industrial Production Society registered in 1978 .",यहां काम करने वाल एक स्वयंसेवी संग न सारथी 1978 में पंजीकृत भूले-बिसरे कलकार कोऑपरेटिव इंड़स्ट्रियल प्रोड़क्शन सोसायटी का सहयोग करता है .,The working wall is a volunteer with no charioteer forgotten registered in 1978 nostalgia Kalkar Cooperative Indstriyl Prodkshn society cooperation.
91294,indic2012,Writers in Hindi,हिन्दी गद्यकार,Hindi prosaist
110338,indic2012,Council of States has three special powers,राज्यसभा के पास तीन विशेष शक्तिया होती है,Near RS are three special powers
74385,tides,"Nobody wanted her back , they said .","उनके मुताबिक , राजग में ममता की वापसी के पक्ष में कोई भी नहीं है .","According to them, none in favor of Her return to the fold."
64947,ted,"And then, over time, we were able to bring down the cost significantly","और फिर, धीरे-धीरे, हम उनकी कीमत को कम करने में समर्थ हो गये","And then, gradually, we were able to reduce their costs"
48884,ted,a few weeks after they voted the law forbidding minarets in the country.,ठीक उस वक़्त जब उन्होनें हाल ही में मीनारों पर रोक लगा दी थी.,Right at the time when he had recently passed a ban on minarets.
27888,indic2012,"A batsman can out by ten different means, and some type are unusuall, there is very few example in the history of the game. The common types of getting out is Bold, Catch,LBW,Runout,Stump and Hitwicket, unusuall ways are hitting ball twice, obstract the filders, handle the ball and time up.",एक बल्लेबाज दस तरीके से आउट हो सकता है और कुछ तरीके इतने असामान्य हैं की खेल के पूरे इतिहास में इसके बहुत कम उदाहरण मिलते हैं.आउट होने के सबसे सामान्य प्रकार हैं बोल्ड केच एल बी डबल्यू रन आउट स्टंपड और हिट विकेट.असामान्य तरीके हैं गेंद का दो बार हिट करना मैदान को बाधित करना गेंद को हेंडल करना और समय समाप्त.,A batsman can be out of ten ways and some ways the very few instances in the history of the game so unusual are the most common type of meet Hankaut bold caught lbw run out Stnpd and hit Viketkasamany ways obstructed the hit twice field ball to handle the ball and timed.
103822,ted,The formations can change.,वह पैटर्न बदल सकते है|,That pattern may change |
20450,indic2012,The Bhashya on the Geeta is as following :,भगवद्गीता पर लिखे गये प्रमुख भाष्य निम्नानुसार हैं-,Written on the Bhagavad Gita major commentaries are as follows:
97018,tides,The year 2001 was an itinerant one for Shakeela .,सन्-ऊण्श्छ्ष्- 2001 शकील के लिए घुमंतू वर्ष रहा .,In-Unshrcrsh- was an itinerant one year Shakeel 2001.
28439,tides,IT ' S HARD WORK BUT IT ' S GREAT FUN AND VERY SATISFYING . ”,"इस काम में कड़ी मेहनत तो करनी पड़ती है , पर इसमें बहुत मज़ा आता है और बहुत संतोष भी होता है |भाष्;","Does this work must be hard, but there is also lots of fun and very satisfying | Bash;"
43768,ted,have huge impacts with how we metabolize drugs,बहुत प्रभावी हैं कि कैसे हम दवाओं पचाते हैं,Very effective how we drugs metabolize
100256,indic2012,outside link.,बाहरी लिंक,External Link
19403,indic2012,"Dainik Jagaran (E-Newspaper, In unicode)",दैनिक जागरण ( इ-पत्र यूनिकोड में ),Dainik Jagran (e-paper Unicode)
61681,ted,for desalination technology.,डी-सलिनाशन प्रौद्योगिकी के लिए.,D-Slinasn technology.
38806,indic2012,Nepal External Ministry.,नेपाली विदेश मन्त्रालय,Nepali Foreign Ministry
4079,ted,"Alright, so finally I'm going to spend the rest of the talk,",अच्छा तो अंत में मैं बाकी की वार्ता,So finally I left talks
4065,ted,"which enabled the walking biped robots, the first androids.","जिसने दो पैरों वाले रोबोट्स को सक्षम बनाया है, पहले यंत्र-मानव(androids) |","Which is designed to enable robots with two legs, the first android (androids) |"
64850,tides,"He liked their sense of fairness , their respect for principles , and their common sense and rationality , as opposed to some of the superstitious practices and beliefs which were found in India .","उन्हें भारत में प्रचलित अंधविश्वास से भरे कुछ रिवाजों और विचारों की तुलना में अंग्रेजों की निष्पक्षता का भाव , सिद्धांतों के प्रति उनका आदर और उनका सामान्य ज्ञान व बुद्धिवाद अधिक पसंद था .","Them a sense of British fairness than some customs and ideas full of popular superstition in India, his respect for the principles and like their common sense and rationalism more."
77893,ted,a few years before the rest of us.,हम सब बाकी लोगों से कुछ साल पहले।,We all know a few years before the others.
65064,ted,For the first time,पहली बार,first time
119280,indic2012,"union working committee president, vice president, cabinet minister comes under this",संघीय कार्यपालिका मे राष्ट्रपति उपराष्ट्रपतिमंत्रिपरिषद तथा महान्यायवादी आते है।,In federal executive president Uprashtrptimntriprisd and fall attorney.
5773,tides,Forgetting his vow of celibacy he wooed her .,ब्रह्मचर्य-तप की बात भूलकर वह उसका मुनहार करने लगा .,Matter of celibacy tenacity forget he was Munhar her.
389,tides,It was but natural for them to employ in their writings the language of the masses .,इसलिए यह स्वभाविक ही था कि वे साधारण जन की भाषा का इस्तेमाल करते .,So it was natural that they use the language of ordinary people.
115499,tides,She stamps and smoothens the walls and packs everything in expertly .,वह दीवारों को दबा दबाकर मजबूत करती है .,"He is strong, pressed down the walls."
61708,ted,"is that at some point, really within the next few years,","आने वाले कुछ सालों में, हमें ये अनुमति देगा कि दुनिया में किसी के भी द्वारा","In years to come, will allow us that by anyone in the world"
59152,tides,"“ Initially , the villagers felt I was misleading their children who needed to work in the fields , ” says Rajpal .","राजपाल कहते हैं , ' ' शुरू में गांववालं को लगा कि मैं उनके बच्चों को , जिन्हें खेत में काम करना चाहिए , गुमराह कर रहा ंं . ' '","The Rajpal says, &#39;&#39; was launched in Ganvwaln that I should work for their children, who farm, misleading Nn. &#39;&#39;"
50117,indic2012,"Bachchan's character was originally intended to have been killed off but after the change of script, the character lived in the end.",इस फिल्म में बच्चन के चरित्र को वास्तव में मृत्यु प्राप्त होनी थी लेकिन बाद में स्क्रिप्ट में परिवर्तन करने के बाद उसे अंत में जीवित दिखाया गया।,The film after Bachchan&#39;s character changes in the script actually had to be killed but later lived in the end.
8035,indic2012,"however in movement of joint maharashta Committee it was severely opposed, and emphasis was laid on making mumbai the capital of maharashtra.",हालांकि संयुक्त महाराष्ट्र समिति के आंदोलन में इसका भरपूर विरोध हुआ व मुंबई को महाराष्ट्र की राजधानी बनाने पर जोर दिया गया।,Although the United emphasizes that all protests and Mumbai make the capital of Maharashtra state committee of the movement.
16654,ted,"through a completely, completely preventable problem.","एक पूरी तरह से, पूरी तरह से रोक जा सकने वाली समस्या के कारण |","A completely, entirely due to the potential problem stopping |"
58423,ted,and get nine food items.,नौ तरह के खाद्य सामान खरीद सकती है.,Nine kinds of food stuff can buy.
34364,indic2012,His personality is flawless.,विलक्षण व्यक्तित्व है उनका।,Singular personality is his.
648,tides,The poverty of the people found its visible manifestation in the series of famines which ravaged the country during the second half of the 19th century .,लोगों की यह दरिद्रता स्पष्ट रूप से 19वीं शताब्दी के अंतिम 50 वर्षों में निरंतर पड़ने वाले उन अकालों में देखी गयी जिससे देश तहस-नहस हो गया था .,"People of this poverty was seen clearly in the 19th famines those falling steadily in the last 50 years of this century, which was the country devastated."
37841,ted,Show the kids what bad customers or bad employees look like.,"बच्चों को बताइये कि खराब ग्राहक, और खराब कर्मचारी कैसे होते हैं ।","Children tell how are bad customers, and poor employee."
53372,ted,or you can make it a clickable link,या उसका क्लिक-करने लायक लिंक बना कर,Or click to create links worth
92933,ted,to the hunters and their families?,वो शिकारी परिवारों के एक प्रकार के देनदार बन जाते थे?,He would become the debtor of a type of predator families?
76039,indic2012,Mumbai is India's economic capital.,मुम्बई भारत का सर्ववृहत्तम वाणिज्यिक केन्द्र है।,Mumbai Srwvrihttm commercial center of India.
123464,indic2012,later after leaving that 24000 slokas were made,तदन्तर उपाख्यानों को छोड़कर चौबीस हजार श्लोकों की भारत संहिता बनायी।,Subsequently made India Code of verses twenty-four thousand except anecdotes.
45667,tides,"Structural changes include a gradual loss of muscle fibres accompanied with infiltration of fat and , connective tissue .","संरचनात्मक परिवर्तनों में शामिल हैं पेशी तंतुओं में धीरे-धीरे ह्रास , साथ ही वसा , और संयोजी ऊतकों का हृदय में जमा होना .","As well as structural changes gradually decline in muscle fibers, as well as fat, and be deposited in the heart of the connective tissue."
71021,indic2012,"London, England",लंदन संयुक्त राजशाही,London United Kingdom
112707,indic2012,Solar energy: sun had a divine power and renewable solar energy to the environment due to the nature and their culture and livelihood of people have found ways similar to them,सौर ऊर्जा : सूर्य एक दिव्य शक्ति स्रोतशान्त व पर्यावरण सुहृद प्रकृति के कारण नवीकरणीय सौर ऊर्जा को लोगों ने अपनी संस्कृति व जीवन यापन के तरीके के समरूप पाया है।,Solar energy: the sun has people renewable solar energy due to a divine power Srotshant and environmental crony nature found similar ways to their culture and livelihood.
119077,ted,"or art as a form of R&D for humanity,","या मानवता के लिए कला को अनुसंधान एवं विकास के रूप में,","Or the art of humanity as R &amp; D,"
100213,tides,"We vigorously develop the collections , adding thousands of specimens to them each year .",हम प्रतिवर्ष संग्रह में हजारों नमूने जोड़कर जोरदार ढंग से इसे विकसित कर रहे हैं .,We are developing it emphatically adding thousands of samples annually collection.
91612,indic2012,"Use of line source dispersion and air ports, roadway air dispersion modeling",रेखा स्रोत (Line source)प्रकीर्णन और हवाई अड्डे सड़क हवाई प्रकीर्णन मॉडलिंग (roadway air dispersion modeling) का उपयोग,Line source (Line source) using scattering and airport road air dispersion modeling (roadway air dispersion modeling)
58597,tides,Narayanan 's appeal was based on the Bhopal Declaration-a new recipe for partnership in civil society drawn up by Dalit leaders at a conference organised by the Madhya Pradesh Government in January .,नारायणन की अपील भोपाल घोषणापत्र पर आधारित है.नागरिक समाज में भागीदारी का यह नया नुस्खा दलित नेताओं ने जनवरी में मध्य प्रदेश सरकार के आयोजित एक समेलन में रखा था .,Narayanan&#39;s appeal Bhopal Haknagrik participation of a new recipe for Dalit leaders in society based on the manifesto was placed in a conference organized by the Madhya Pradesh government in January.
16204,tides,Acute malnutrition will then eliminate more than half the human race !,यह सब न होने पर तीव्र कुपोषण के कारण आधी से ज़्यादा जनसंख़्या लुप्त हो जाएगी .,It will disappear over half Jnsnkhya due to acute malnutrition is not all.
48326,ted,"and it's sticky and rusty,",यह जंग लगा हुआ चिपचिपा सा सिक्का है,It rusted the sticky bit Coin
10300,tides,A number of scientists have proposed theories or the possible reasons for aging .,अनेक वैज्ञानिकों ने वृद्धावस्था के संभावित कारण या सिद्धांत प्रतिपादित किए हैं .,Many scientists have theorized probable cause or theory of aging.
88439,indic2012,"This glacier is 25 KM long, 4 Km wide and 40 m high.",यह हिमनद २५ कि.मी. लंबा व ४ कि.मी. चौड़ा और लगभग ४० मी. ऊँचा है।,This glacier 25 km Long and 4 km Wide and approximately 40 m. High.
84438,ted,"and he says, “Oops, better go back up and do it again.”","और फिर उनके दिमाग में आता है, “अरे, चलो वापस जा कर दुबारा शुरू करते हैं.”","And then comes into his mind, &quot;Hey, let&#39;s begin again to go back.&quot;"
65288,tides,"On the southern side , the main mandapa leads through its three openings , with a fine over-door frame round the central one flanked by two intermediate windows , to an extension on this side , which is in the form of an outer open mandapa with a row of ten pillars and two pilasters on its southern facade .","दक्षिणी पार्श्व पर , मुख़्य मंडप अपने तीन द्वारों से , जिसमें मध्यस्थ द्वार के आसपास एक उत्कृष्ट बृहद द्वार है और अगल-बगल में दो अंतर्बर्ती खिड़कियां हैं , इस दिशा में स्थित विस्तार में जाया जा सकता है , जो दस स्तंभों की एक पंक़्ति और दक्षिणी मुखाग्र पर दो भित्तीस्तंभों से युक़्त एक बाह्म खुले मंडप के रूप में है .","On the southern flank, Mukhy pavilion with three gates, which the intermediary is an excellent large door near the entrance and side-by-side two Antrberti windows, can be used to expand in this direction, which is a Pankhti and southern ten columns two Bhittistnbhon the facade Yukht as an external open pavilion."
110073,ted,"so you take a bit of this cycle valve tube,","आप बस थोडे से साइकिल वाल्व ट्यूब लें,","You simply make bicycle valve tube short,"
40818,tides,"It is the system that is wrong , the system that is based on the exploitation of the few and the prostitution of labour .","खराबी तो व्यवस्था में है , यह व्यवस्था थोड़ेसे लोगों द्वारा किये जा रहे शोषण और उनके द्वारा मजदूरों से नाजायज काम कराने पर टिकी हुई है .","Malfunction in the system, the system rests on providing illegal laborers from exploitation by being by Thodese people and their."
10822,ted,"AB: I would say that there are many, many gaps in secular life","ऐ. बो.: मेरे खयाल से ऐसे बहुत तरीके हैं, लौकिक जीवन मे बहुत कमियां है","AI. Bo .: I think there are many ways, many loopholes in the cosmic life"
94455,indic2012,Spoon position: This is a side by side position. The only difference in this is that the partners do not face each other. The woman lies on her side and the man then inserts his penis from the back while lying on his side.,- चमचा पोजीशनः यह अगल-बगल पोजीशन से मिलती है. इसमें अंतर इतना है कि दोनों पार्टनर के चेहरे आमने सामने नहीं होते है. इसमें महिला करवट के बल लेट जाती है फिर पुरुष महिला के पीछे की ओर से करवट के बल ही लेट कर प्रवेश की प्रक्रिया प्रारंभ करता हैं.,- tablespoon Pojishna it meets the sideways position. The difference is that in the face of both partners face the front. This starts the process of admission to lay down on his side from the back side of the old girl is lying on the female side.
66290,ted,"After this,","इसके बाद,","After that,"
105355,ted,(Laughter),(हंसी),(Laughter)
5303,tides,"This was not , of course , the only reason .",केवल यही एकमात्र कारण नहीं था .,Only this was not the only reason.
108715,ted,to service as well as to success.,"सेवा के लिये, और सफ़ल होने के लिये।","For the service, and to succeed."
34483,tides,Since they could not be more holy they decided to be more human and seek the other good things that life and the times made possible .,"चूंकि वे अब पहले की तरह अधिक धर्मनिष्ठ नहीं हो सकते थे इसलिए उन्होंने अधिक मानवीय होने का संकल्प लिया और उन तमाम अच्छी चीजों की तरफ आकृष्ट हुए , जिसे जीवन और समय-चक्र ने संभव बना दिया था .",Since they no longer therefore could not be more pious before he resolved to be more humane and draw on them all the good things that life and time-cycle was made possible.
27380,tides,The Japanese Wireless Monitoring Station at the same time intercepted messages sent out from the islands .,“ जापान के ” वायरलैस मौनिटर स्टेशनों “ ने इन द्वीपों से भेजे जाने वाले ” वायरलैस ” संदेशों को पकड़ लिया .,&quot;Japan&#39;s&quot; Wireless Munitr stations &quot;caught up&quot; wireless &quot;messages sent to these islands.
29644,tides,"We have endeavoured to indicate what the war and peace aims of those who speak for democracy should be , and , in particular , how they should be applied to India .","हमने यह बताने की कोशिश की है कि जो लोग लोकतंत्र की बातें करते हैं , युद्ध और शांति के बारे में उनके उद्देश्य को हिंदुस्तान में किस तरह लागू किया जाना","We talk about those democracies that have tried to explain it, to be applied in India the scope of war and peace"
12822,tides,This leaflet :,यह लीफलेट :,This leaflet:
76736,tides,So Babur opened his campaigns of conquest against India and in the fifth invasion in 1526 defeated and killed Ibrahim Lodi and occupied Delhi .,इसलिए बाबर ने भारत विजय का अपना अभियान शुरू कर दिया और 1526 मे पांचवे आक्रमण में इब्राहिम लोदी को हराकर मार डाला तथा दिल्ली को अपने Zअधिकार में कर लिया .,So Babar started its operations in India victory and killed defeated Ibrahim Lodi in the fifth attack in 1526 and taken to Delhi for its Z rights.
37062,tides,1 in 3000 -LRB- rubella -RRB-,3000 में से 1 ह्यरूबेल्लाहृ,1 Hyrubellahri of 3000
33837,ted,that can unlock,जो पट खोल सकती है,Which could open the curtains
92946,indic2012,Whose original name is Tejo Mahalaya.,जिसका असली नाम तेजो महालय है|,Whose real name Tejo Mahaly |
24439,ted,"As you can see, these images aren't really special.","जैसा कि आप देख सकते है, यह तस्वीरे कुछ खास नहीं है |","As you can see, it Pictures is nothing special |"
23176,indic2012,"Ramayana explanation art inspired by Ramayana, and other Indian arts",रामायण व्याख्या रामायण से प्रेरित चित्रकला शिल्पकला तथा अन्य भारतीय कलाओं की समाविष्टि,Ramayana explain painting inspired by the Ramayana sculpture and inclusiveness of Indian arts
37540,tides,"Think about your mission at all times and never forget that an individual never wins a hockey gold medal , the team does .","कभी यह मत भूलिए कि एक अकेल खिलड़ी कभी हॉकी का स्वर्ण हासिल नहीं कर सकता , यह टीम को ही मिलता है .","It could never achieve the golden one alone Kildi ever hockey forget it, get the same team."
35696,indic2012,Multitude in the poetry of Harivansh Rai Bachchan,हरिवंशराय बच्चन के काव्य में लोकतत्व,Harivanshrai Lokttw Bachchan Poetry
61848,ted,"Then this occasional compassion,",तब ये यदा-कदा सहानुभूति,And these occasional sympathy
40273,ted,the feedback here is immediate.,यहाँ तुरंत नतीजा मिलता है|,Here immediately get the result |
104065,ted,"You hear about Mars, it's a problem communicating to Mars",आपने मंगल के बारे में सुना होगा कि वहाँ संपर्क साधना मुश्किल है,You may have heard about Tue there Contact Silence is difficult
95518,ted,"I appreciate your attention today,","मैं आज आपकी एकाग्रता का आदर करती हूँ,","I respect your concentration today,"
76111,tides,For all practical purposes the two factors then assort together and behave as if they were one .,फिर अधिकांश समय इन दोनों का संव्यूहन एक साथ होता है तथा ऐसा प्रतीत होता है कि वस्तुत : वे दो भिन्न जीन न होकर एक ही जीन हैं .,"And most of the time it happens with regimentation of these two, and it seems that in fact they have the same genes, rather than two different genes."
46419,tides,"He persuaded the Congress to pass a resolution -LRB- August 1942 -RRB- asking the British Government to ' Quit India ' and if it refused , to start a nation-wide campaign of Civil Disobedience .","उन्होनें कांग्रेस को समझाया कि ऐसा प्रस्ताव पारित करें ( अगस्त 1942 ) कि ब्रिटिश सरकार से भारत छोड़ने की मांगा की जाये , और यदि वे इंकार करते है तो देश भर में सविनय अवज्ञ आंदोलन प्रारंभ किया जाये .","He passed a proposal explained the Congress (to be August 1942) that sought to exclude India from the British government, and if they refuse to be initiated civil Avjtr movement throughout the country."
107563,indic2012,rivers,सहायक नदियाँ,Tributaries
98366,ted,And we were supposed to fit into roles,और हम सब भूमिकाओं में ढलने वाले समझे जाते थे,And we were treated to sunset in all roles
84256,ted,Another is to change our lifestyles.,दूसरा तरीका है अपनी जीवन शैली को बदलना।,Another way is to change your lifestyle.
96910,tides,Bucks of those breeds which have long hair are generally trimmed .,"जिन नस्लों के बकरों के बाल लम्बे होते हैं , आमतौर पर उनके बाल काटकर छोटे कर दिये जाते हैं .","The goats which breeds hairs are long, usually on their hair cut short."
37243,indic2012,Its terrace flooring has been converted to wooden flooring.,इसकी मूल छत को रोगन की गई काष्ठ निर्मित छत से बदल दिया गया है।,The original roof was replaced went wood-built roof of the thickener.
14759,ted,(Applause),(अभिवादन),(Greeting)
89087,ted,And what had happened,और तब वो,And then he
20277,indic2012,mirjapur district,मिर्जापुर जिला,Mirzapur district
17886,tides,"The defence consisted of legal luminaries : Mr Joseph Baptista , Sri Chitre , Sri Govin-drao Gadgil and Sri Rangnekar .","बचाव-पक्ष में प्रसिद्ध कानूनविद् थे : श्री जोसेफ बप्तिस्ता , श्री चित्रे , श्री गोविन्दराव गाडगिल और श्री रांगनेकर .","Famous jurist in, defended Mr. Joseph Bptista, Mr. Chitre, Mr. Govinda Rao Gadgil and Mr. Rangnekar."
58279,indic2012,"After Muaviya Raji became the Caliph, this title became a hereditary matter.",मुआविया रजी* के खलीफा बनने के बाद खिलाफत वंशानुगत हो गयी।,After becoming Khalifa Muavia Razi * caliphate became hereditary.
107389,tides,The leaders of the movement wanted to teach and guide the masses .,आंदोलन के नेता जनता को शिक्षित करना और निर्देश देना चाहते थे .,Leader of the Movement people wanted to educate and instructions.
14385,indic2012,".This assumption was based on the narration of Jean Baptiste Tavernier, the first European Taj Mahal Traveler, who traveled Agra in 1665.",यह अनुमान जीन बैप्टिस्ट टैवर्नियर प्रथम यूरोपियन ताजमहल पर्यटक जिसने आगरा 1665 में घूमा था के कथनानुसार है।,It states that the estimated Jean-Baptiste Tawarniyr first European Taj Mahal tourists who had traveled to Agra in 1665.
50953,tides,"The growing Flora will eventually contain the descriptions of 20,000 species ; about 10 per cent of them will be new to science .","फ्लोरा नामक इस सूची में 20,000 प्रजातियों का विवरण होगा , जिसमें से लगभग 10 प्रतिशत विज्ञान के लिए नई खोज होंगी .","Flora named in this list will contain 20,000 species, of which will be new for almost 10 percent science."
119883,ted,maybe you want to go to the restaurant.,बल्कि कभी जाना भी चाहें इस रेस्त्रां में।,But never go anywhere you want in the room.
124858,indic2012,from among the 17 branches of suklayajurvedh books of only 2 branches are available.,शुक्लयजुर्वेद की १५ शाखाओं में से केवल २ शाखाओं के ग्रन्थ ही प्राप्त है-,Shuklyjurved&#39;s is the only book of only two branches from 15 branches
90698,ted,It's been a severe disease for thousands of years.,यह हज़ारों सालों से एक भयंकर बीमारी रही है।,It is a chronic illness for thousands of years.
89895,ted,being created by users right now.,जो उपयोगकर्ताओं द्वारा अभी बनाया जा रहा है.,Which is being created by users right now.
12745,indic2012,More on the Hindi language and literature,हिन्दी भाषा और साहित्य पर और कड़ियाँ,Hindi language and literature and links
120362,ted,"this is the list of types of thing that qualify as damage,","ये उन चीज़ों की सूची है जो नुक्सान होने के काबिल कहे जा सकते हैं,","Here is a list of things that can be said to be capable of being opened,"
94318,tides,"If it gets in the way of your child 's enjoyment of reading and writing , there are ways you can help using everyday items .","यदि यह आप के बच्चे की पढ़ाई व लिखाई के आनन्दमय पथ पर विघ्न डालता है , तो ऐसे तरीके हैं जिनके द्वारा आप रोजमर्रे की चीजों का प्रयोग करके उस की मदद कर सकते हैं .","If it can help him by using things you routine by which it puts obstacles on the joyful path of reading and writing of the child, there are ways."
26546,tides,"Also , since the term ' minority ' has not been defined in the Constitution anywhere and there are advantages in belonging to the minority , groups within the majority Hindu fold have started claiming minority status e.g . Arya Samaj in Punjab .","इसके अलावा , चूंकि संविधान में कहीं भी अल्पसंख्यक शब्द की परिभाषा नहीं की गई है और अल्पसंख्यक वर्ग से संबंधित होने के लाभ हैं , इसलिए बहुसंख्यक हिंदुओं के कुछ वर्गों ने जैसे , पंजाब में आर्यसमाज ने , अल्पसंख्यक दर्जे का दावा करना शुरू कर दिया .","Moreover, since went no definition of minority words anywhere in the Constitution and the benefits of belonging to minority groups, so as some sections of the Hindu majority, Arya Samaj in Punjab started claiming minority status."
86676,tides,"The Congress , with 20 seats , heads the new Secular Progressive Front comprising four parties .",चार पार्टियों के नए धर्मनिरपेक्ष प्रगतिशील मोर्चो की अगुआई 20 विधायकों वाली कांग्रेस के हाथ है .,Under the new secular progressive fronts Four parties congressional arm 20 legislators.
112247,indic2012,Mr. varma did not remarry in spite of Mahadeviji's telling him to do so.,श्री वर्मा ने महादेवी जी के कहने पर भी दूसरा विवाह नहीं किया।,Mr. Verma has not remarried at the behest of mahadevi law.
44487,ted,"utter and complete openness,",निरी और पूरी तरह खुलापन,Utter and complete openness
89708,ted,"I came home to my wife and I said, “I created a character after you.”","मैनें घर लौट कर अपनी पत्नी से कहा, “मैने तुम्हारे आधार पर एक किरदार बनाया है।”","I returned home, told his wife, &quot;I have created a character on your base.&quot;"
14027,ted,And the answer is that these variations are absolutely unbelievable.,और जवाब यह है कि ये असमानताएँ वास्तव में अविश्वसनीय हैं।,And the answer is that these inequalities are really incredible.
45777,tides,"Then , First Global made the mistake of investing in a relatively unknown Internet company called Tehelka.com and Tehelka made the mistake of giving us our first videotaped expose of corruption in high places .","पर वह एक गलती कर बै ई.अनजानी-सी इंटरनेट कंपनी ठेहेल्क.चोम् में उसने निवेश किया , जिसने ऊंचे पदों पर भ्रष्टाचार की पोल खोलने वाल पहल वीड़ियो टेप जारी किया .","He has invested in making a mistake sitting Ikanjani small Internet company Tehelkkchom, which released the corruption of Wall initiative a video tape expose to high positions."
77115,tides,Around about 1100 A.D . King Kahanchand 's -LRB- of Bilaspur -RRB- elder son Ajay Chand annexed Handur and killed the Rana of the area and laid the foundations of the state of Nalagarh .,1100 ई . के आसपास बिलासपुर के राजा कहानचंद के बड़े लड़के अजयचंद ने हंडूर ( नालागढ़ ) पर आक्रमण Zकिया.उसने वहां के राणा हंडूर को मारकर नालागढ़ रियासत की नींव रखी .,1100 AD. Big Boy Ajaychand King Khanchand around Bilaspur attacked Hndur (Nalagarh) Z crossed the Rana Hndur founded killing Nalagarh state.
33166,ted,and left to worsen.,वह और खराब होती चली गईं.,There went that bad.
76143,indic2012,Results,परिणाम,result
8591,tides,Yet another cause of concern for the Indian security agencies is the possibility of a New York-Washington type of attack in Delhi .,इसके अलवा भारतीय सुरक्षा एजेंसियों को दिल्ली में न्यूयॉर्क-वाशिंगटन की तरह के हमले की आशंका बनी ही है .,"Plus Indian security agencies as well as the fear of such attacks in New York, Washington, Delhi."
39645,ted,my team at Push Pop Press,पुश पॉप प्रेष में मेरी टीम,Push Pop My team postage
45015,tides,A miffed Congress imagined it could bolster its bargaining clout by entering into a pact with the TMC .,इस पर कांग्रेस ने सोचा कि वह तमाकां के साथ समज्हैता कर सौदेबाजी की अपनी ताकत बढ सकती है .,The Congress thought that it may increase its bargaining clout Smjhata with TMC.
7814,ted,You will admire it. Just behold the beauty throughout the year.,आप इसकी प्रशंसा करेंगे। साल भर इस सुंदरता को निहार सकते हैं।,You will appreciate it. Throughout the year can admire the beauty.
